Image Index,PSNR,SSIM,LPIPS
622,35.1984,0.9418,0.2900
623,34.0732,0.9112,0.2280
624,32.6740,0.8833,0.2867
625,33.3548,0.9006,0.2409
626,34.3969,0.9195,0.2380
627,30.3052,0.8110,0.2066
628,33.0005,0.8989,0.2164
629,33.4904,0.9075,0.1903
630,33.6482,0.8941,0.2092
631,33.3127,0.9018,0.2313
632,32.6099,0.7916,0.2058
633,31.9915,0.8733,0.2085
634,33.0052,0.8958,0.2263
635,32.3457,0.8777,0.2246
636,35.0467,0.9134,0.2981
637,33.7006,0.9183,0.2292
638,33.5250,0.9184,0.2502
639,34.3242,0.9147,0.2404
640,31.2458,0.8424,0.2353
641,33.9865,0.9217,0.2379
642,33.2407,0.9073,0.2039
643,32.9966,0.8465,0.1830
644,36.5046,0.9495,0.2779
645,33.0925,0.9012,0.2196
646,33.9690,0.9119,0.2092
647,33.3118,0.8956,0.2042
648,33.8322,0.9041,0.1911
649,33.4519,0.9055,0.1878
650,33.1259,0.8910,0.2427
651,33.8012,0.9176,0.2623
652,33.0808,0.8964,0.2154
653,33.0161,0.8812,0.1831
654,34.0252,0.9113,0.2315
655,32.4327,0.8769,0.2224
656,33.5029,0.9070,0.2117
657,32.4718,0.8727,0.2403
658,33.3741,0.9085,0.1931
659,34.2656,0.9123,0.2030
660,33.4186,0.9013,0.1893
661,32.9377,0.8911,0.2047
662,34.8181,0.9094,0.2207
663,34.1547,0.8996,0.1912
664,33.9639,0.9161,0.2051
665,32.5379,0.8872,0.2115
666,34.2476,0.9082,0.2482
667,32.4817,0.8690,0.2199
668,33.2593,0.8971,0.1745
669,34.1527,0.9206,0.1841
670,31.9879,0.8711,0.2464
671,32.5812,0.8955,0.2318
672,32.8032,0.8862,0.2514
673,34.4804,0.9129,0.2191
674,33.8301,0.9075,0.2757
675,32.4675,0.8633,0.2502
676,35.5649,0.9363,0.2304
677,32.5985,0.8600,0.1728
678,34.0063,0.8915,0.2090
679,33.5906,0.9085,0.2279
680,32.2187,0.8708,0.2345
681,33.5302,0.8965,0.2311
682,34.2086,0.9078,0.1997
683,33.4880,0.9079,0.1926
684,33.4901,0.9103,0.1958
685,33.4765,0.9046,0.1974
686,34.2533,0.9173,0.2021
687,32.8166,0.8960,0.2002
688,33.1356,0.8986,0.2268
689,32.3936,0.8433,0.1656
690,33.5489,0.9041,0.1857
691,35.7529,0.9543,0.2086
692,35.4510,0.9238,0.2955
693,31.7438,0.8537,0.2534
694,33.0295,0.9043,0.1691
695,32.9969,0.8890,0.2600
696,33.0727,0.8523,0.1989
697,33.7587,0.8911,0.2034
698,33.4260,0.8950,0.2383
699,33.4614,0.9046,0.2337
700,32.4366,0.7319,0.1829
701,31.9458,0.8767,0.1802
702,32.9052,0.8972,0.1992
703,33.6725,0.9146,0.2229
704,35.7985,0.9466,0.2313
705,33.6917,0.9055,0.2387
706,32.9380,0.8845,0.1818
707,34.7955,0.9296,0.2109
708,32.8732,0.8826,0.2572
709,33.2585,0.9110,0.2017
710,33.1851,0.8976,0.2285
711,33.5670,0.9118,0.1989
712,33.7997,0.9147,0.1892
713,34.4532,0.9121,0.2992
714,33.7334,0.8933,0.2669
715,33.6540,0.9046,0.2183
716,33.4836,0.9029,0.1721
717,33.3125,0.8802,0.1987
718,33.9630,0.9119,0.2330
719,33.4315,0.8736,0.2073
720,32.7961,0.8413,0.2348
721,32.6302,0.8617,0.2038
722,35.2044,0.9004,0.2893
723,32.3179,0.8765,0.2398
