Image Index,PSNR,SSIM,LPIPS
388,35.3650,0.9305,0.1445
389,34.3943,0.8527,0.0806
390,33.4803,0.8946,0.1491
391,32.8061,0.8770,0.1572
392,36.0371,0.9368,0.1555
393,35.4955,0.9360,0.0904
394,35.5867,0.9354,0.1764
395,33.2680,0.9049,0.1373
396,34.8806,0.9256,0.1164
397,33.8807,0.8979,0.1284
398,34.1032,0.8376,0.0879
399,33.8111,0.9092,0.1664
400,34.9108,0.9147,0.1716
401,33.8363,0.9036,0.1767
402,34.4388,0.9126,0.1629
403,34.9317,0.9134,0.1335
404,34.1873,0.8958,0.1533
405,35.6220,0.9286,0.1429
406,33.7802,0.9004,0.2239
407,34.4035,0.9055,0.1620
408,34.2488,0.8912,0.1293
409,34.1693,0.9125,0.1362
410,33.3478,0.8805,0.2117
411,34.2934,0.9046,0.1691
412,34.5852,0.9093,0.1231
413,34.6985,0.8958,0.1195
414,33.7857,0.8767,0.1353
415,34.0464,0.9288,0.1375
416,35.4628,0.9257,0.1595
417,36.4500,0.9337,0.2540
418,34.0961,0.9035,0.1631
419,34.6825,0.9040,0.1319
420,34.6773,0.9050,0.1663
421,34.2954,0.9135,0.1214
422,33.2471,0.8876,0.1618
423,34.0638,0.9116,0.1542
424,33.6905,0.8758,0.1474
425,33.0748,0.8770,0.1812
426,35.4826,0.9295,0.1266
427,36.2005,0.9560,0.1356
428,35.1182,0.9145,0.1489
429,35.0132,0.9234,0.1375
430,35.1884,0.8909,0.2398
431,31.9134,0.8674,0.2068
432,36.0701,0.9368,0.1520
433,34.5697,0.9063,0.1659
434,37.7351,0.9475,0.1448
435,34.2930,0.9110,0.1344
436,33.7714,0.8915,0.1539
437,33.8727,0.9017,0.1623
438,34.1979,0.9122,0.1192
439,36.3499,0.9453,0.2089
440,35.4224,0.9248,0.1340
441,35.1776,0.9225,0.1416
442,35.5671,0.9080,0.1792
443,32.8101,0.8754,0.1660
444,32.8191,0.8604,0.1890
445,33.9216,0.9002,0.1497
446,35.4650,0.9021,0.1409
447,34.2653,0.9099,0.1413
448,35.6384,0.9322,0.1100
449,32.8738,0.8466,0.2285
450,34.1244,0.8995,0.1793
451,34.2872,0.9285,0.1670
452,30.5880,0.8224,0.1434
453,34.0365,0.9034,0.1549
454,32.8725,0.8220,0.1482
455,35.2497,0.9357,0.1531
456,34.2450,0.9188,0.1447
457,35.0087,0.9158,0.1600
458,34.6865,0.9065,0.1536
459,33.8363,0.8915,0.1554
460,34.6183,0.9060,0.1679
461,34.0201,0.9171,0.1337
462,33.9640,0.9096,0.1810
463,35.2100,0.9278,0.1506
464,34.7388,0.9177,0.1562
465,35.0500,0.9333,0.1131
466,33.3494,0.8962,0.1948
467,33.9668,0.9051,0.1460
468,34.2180,0.9005,0.1825
469,36.0458,0.9194,0.1973
470,33.7464,0.8670,0.1277
471,34.6811,0.9093,0.1361
472,33.3061,0.8903,0.2083
473,33.0693,0.8836,0.1538
474,34.7196,0.9252,0.1185
475,34.0887,0.8858,0.1330
476,35.6040,0.9315,0.1436
477,34.3409,0.9232,0.1382
478,34.5205,0.9031,0.1870
479,34.5441,0.9116,0.1719
480,37.9685,0.9590,0.1283
481,35.7273,0.9309,0.1303
482,34.3262,0.9036,0.1760
483,33.6512,0.9205,0.1688
484,33.2859,0.8849,0.1814
485,33.8956,0.8929,0.2022
486,37.5555,0.9613,0.1248
487,35.0225,0.9190,0.1633
488,33.8470,0.8981,0.1299
489,38.1184,0.9345,0.1407
490,32.0225,0.8591,0.1630
491,33.5772,0.8900,0.1670
492,33.5479,0.8663,0.1619
493,34.0681,0.9014,0.1573
494,34.5988,0.9128,0.1458
495,34.0706,0.9121,0.1773
496,33.9611,0.8852,0.1406
